isLocalGuide,name,ReviewDate,MealType,ServiceType,AtmosphereRating,FoodRating,ServiceRating,Rating,review
TRUE,Divyan Paul,07-05-2023,Dinner,Dine in,,,,5,
TRUE,Pakala Purushotham,06-05-2023,Dinner,Dine in,5,5,5,5,
TRUE,Dhanush Pai,06-05-2023,Dinner,Dine in,4,5,5,5,Went with friends and had many items. It was yummy. Kothu parotha and chicken dosa is a must try.
TRUE,Jibin Mathai,30-04-2023,Dinner,Take out,3,4,5,4,
TRUE,hari prasad,30-04-2023,Lunch,Dine in,4,4,5,5,"The food was good, the atmosphere like same as a roadside shop in madurai
Tamil people will love this shop
Service also good👍"
FALSE,vinay chatla,18-04-2023,,,,,,4,
TRUE,Zodiac Dentals,17-04-2023,Lunch,Dine in,4,4,4,4,Can have authentic South Indian food in a good setting here..must visit!!
TRUE,venkata ravindra babu Madapakula,17-04-2023,Dinner,Dine in,4,5,5,5,Super tasty parotas ever in hyderabad my tummy was full ever
TRUE,koncha madhava,04-04-2023,,,,,,4,
TRUE,Mohan Vamsi,02-04-2023,Dinner,Dine in,1,3,2,2,
TRUE,Selva ganesh.p,02-04-2023,Dinner,Dine in,5,5,5,5,Namba style hotel.
TRUE,Joshua Martin,02-04-2023,Dinner,Dine in,3,4,4,4,Budget friendly
TRUE,Vikas,29-03-2023,Lunch,Dine in,2,1,2,1,"Got food poison after having food here. This place used to be amazing before 2 years. Now, it is run by a few Bengali ""parotta masters"". The hygiene is too bad. Nothing seems to be fresh. They reheat whatever you ask for and serve you. Be it regular parotta or kothu parotta, they take an already prepared parotta or a plate of kothu parotta (only God knows when it was made), reheat and serve you. Avoid this place at any cost. Save yourself from health hazards."
FALSE,sengundhar balakumar,25-03-2023,,Take out,,,,5,Great taste of Authentic Tamilnadu dinner items & briyani.
TRUE,VisHnu RagHu,24-03-2023,Dinner,Dine in,2,4,3,3,
TRUE,Vijay athithya,21-03-2023,,,,,,5,Almost daily visit! Best food
FALSE,Faruk Mulla,19-03-2023,,,5,5,5,5,
TRUE,MOHAN BABU,13-03-2023,,,,,,3,
TRUE,C Rudreswara,13-03-2023,Dinner,,4,5,5,5,
TRUE,Kathiresh Swaminathan,11-03-2023,,,3,4,4,5,
TRUE,Srijith S,08-03-2023,,,,,,5,
FALSE,ANU DEEP,07-03-2023,,,,,,5,
FALSE,Harish Balaji,07-03-2023,,,4,5,5,5,
TRUE,Srinivas Gadi,07-03-2023,,,,,,4,
TRUE,Satish Kumar,05-03-2023,,,,,,4,
TRUE,Damu Sagar,04-03-2023,,,,,,1,
TRUE,Haritha Raj R,04-03-2023,,,5,5,5,5,
TRUE,Kathar Basha,26-02-2023,,,1,1,1,2,
TRUE,Raja,26-02-2023,Dinner,,3,4,3,4,"You can taste the local tamilnadu Street food with authentic taste.
I tried kothu parota, which is good and freshly made with chicken and egg.
Kolaki is also good and juicy. ...bit crowded and situated in middle of lot of mens hostels.

Small place, plz drive via two wheeler only....4 wheeler avoid."
TRUE,Manoj R,26-02-2023,,,,,,4,
TRUE,Ravichandran G,26-02-2023,,,,,,4,
FALSE,nani sriram,25-02-2023,Lunch,Dine in,4,5,5,4,
TRUE,Gnana Prakash,23-02-2023,Lunch,Dine in,3,4,3,4,
FALSE,niranjan ganesh,20-02-2023,,,,,,5,
FALSE,Bhaskar K,19-02-2023,,,,,,5,
FALSE,Pradeep Anandarajan,19-02-2023,Lunch,Dine in,,,,5,
TRUE,aravind raj,18-02-2023,Dinner,Dine in,5,5,5,5,
TRUE,Durai kannan,18-02-2023,,,3,3,3,5,
TRUE,Suresh Kumar,18-02-2023,Dinner,Dine in,4,5,5,5,
FALSE,Santhana Lakshmi,15-02-2023,,,,5,5,5,Pakka Tamil style cafe.
